date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:40	22860/22860	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202026%2008:24:52%20GMT	https://clementgermainetest.webflow.io/project-01	C:/PortfolioWebpageProject/clementgermainetest.webflow.io/project-01.html	(from )
09:26:40	6447/6447	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2027%20Mar%202026%2008:25:42%20GMT	https://clementgermainetest.webflow.io/robots.txt		(from )
09:26:41	128857/128857	---MCZ	200	added ('OK')	text/css	etag:W/%2271f3159be35b3474c0c29c4d370b673d%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/css/clementgermainetest.webflow.shared.6913aacbc.css	C:/PortfolioWebpageProject/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/css/clementgermainetest.webflow.shared.6913aacbc.css	(from https://clementgermainetest.webflow.io/project-01)
09:26:41	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/PortfolioWebpageProject/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://clementgermainetest.webflow.io/project-01)
09:26:41	879/879	---M--	200	added ('OK')	image/png	etag:%22ef501dc35fcb8cc629a327912a24654d%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679217bfdbd9617b04b9ee1a_Favicon.png	C:/PortfolioWebpageProject/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/679217bfdbd9617b04b9ee1a_Favicon.png	(from https://clementgermainetest.webflow.io/project-01)
09:26:41	6575/6575	---M--	200	added ('OK')	image/png	etag:%226a34aedbd13b56ee211e55a3587992d4%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/67921943ee72c2d0506386f4_Fichier%2010.png	C:/PortfolioWebpageProject/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/67921943ee72c2d0506386f4_Fichier%2010.png	(from https://clementgermainetest.webflow.io/project-01)
09:26:42	19724/19724	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202026%2008:07:17%20GMT	https://clementgermainetest.webflow.io/portfollio	C:/PortfolioWebpageProject/clementgermainetest.webflow.io/portfollio.html	(from https://clementgermainetest.webflow.io/project-01)
09:26:42	6447/6447	---M--	502	error ('Bad%20Gateway')	text/html	date:Fri,%2027%20Mar%202026%2008:25:44%20GMT	https://clementgermainetest.webflow.io/%22https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a%2F69baba693f4b9e0769f8b2bf_ScreenRecord_FTE_Compressed_poster.0000000.jpg%22	C:/PortfolioWebpageProject/clementgermainetest.webflow.io/_https_/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/69baba693f4b9e0769f8b2bf_ScreenRecord_FTE_Compressed_poster.0000000.jpg_	(from https://clementgermainetest.webflow.io/project-01)
09:26:42	2783688/2783688	---M--	200	added ('OK')	image/png	etag:%22ca9490952ec469a4d9d1aa9718960176%22	https://cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/69ba78b1dd83bc49cb45449d_FTE-MOCKUP.png	C:/PortfolioWebpageProject/cdn.prod.website-files.com/67829ee3c36756f3a6ecc22a/69ba78b1dd83bc49cb45449d_FTE-MOCKUP.png	(from https://clementgermainetest.webflow.io/project-01)
09:26:42	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=67829ee3c36756f3a6ecc22a	C:/PortfolioWebpageProject/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c85c7f.js	(from https://clementgermainetest.webflow.io/project-01)
